english,portuguese,level,category,grammar_points
I pay bills once a month.,Eu pagar contas uma vez por mês.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the hardware store at 8:00 p.m. on Saturday.,Eu vou à loja de ferragens às 20:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the bookstore at 7:00 p.m. on Sunday.,Eu vou à livraria às 19:00 na domingo.,A1,shopping,"[""present simple""]"
I buy eggs at the bakery.,Eu compro ovos na padaria.,A1,shopping,"[""present simple""]"
I go to the coffee shop at noon on Monday.,Eu vou à cafeteria às meio-dia na segunda-feira.,A1,shopping,"[""present simple""]"
I eat a late snack at 10:00 a.m..,Eu faço um lanche tarde às 10:00.,A1,daily_routine,"[""present simple""]"
I go to the hardware store at 3:00 p.m. on Wednesday.,Eu vou à loja de ferragens às 15:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the hardware store at 10:00 a.m. on Sunday.,Eu vou à loja de ferragens às 10:00 na domingo.,A1,shopping,"[""present simple""]"
I cook at home on weekdays.,Eu cozinhar em casa nos dias úteis.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the grocery store at 5:00 p.m. on Monday.,Eu vou à mercado às 17:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I need medicine for a late snack.,Eu preciso de remédio para o um lanche tarde.,A1,daily_routine,"[""present simple""]"
I go to the bookstore at 3:00 p.m. on Saturday.,Eu vou à livraria às 15:00 na sábado.,A1,shopping,"[""present simple""]"
I want a water and a sushi.,Eu quero um água e sushi.,A1,food,"[""present simple""]"
I go to the bank on Monday.,Eu vou ao o banco na segunda-feira.,A1,transport,"[""present simple""]"
I need milk for lunch.,Eu preciso de leite para o almoço.,A1,daily_routine,"[""present simple""]"
I buy soap at the clothing store.,Eu compro sabão na loja de roupas.,A1,shopping,"[""present simple""]"
I buy paper towels at the grocery store.,Eu compro papel toalha na mercado.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 1:00 p.m. on Saturday.,Eu vou à cafeteria às 13:00 na sábado.,A1,shopping,"[""present simple""]"
The hardware store is clean this afternoon.,A loja de ferragens está limpo hoje à tarde.,A1,shopping,"[""verb to be""]"
I go to the clothing store at 5:00 p.m. on Sunday.,Eu vou à loja de roupas às 17:00 na domingo.,A1,shopping,"[""present simple""]"
I want a coffee and a grilled chicken.,Eu quero um café e frango grelhado.,A1,food,"[""present simple""]"
The clothing store is quiet tonight.,A loja de roupas está tranquilo hoje à noite.,A1,shopping,"[""verb to be""]"
I go to the gas station at 1:00 p.m. on Wednesday.,Eu vou à posto de gasolina às 13:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I want a coffee and a pasta.,Eu quero um café e macarrão.,A1,food,"[""present simple""]"
The drugstore is busy tonight.,A farmácia está movimentado hoje à noite.,A1,shopping,"[""verb to be""]"
I eat breakfast at 7:00 p.m..,Eu faço café da manhã às 19:00.,A1,daily_routine,"[""present simple""]"
Where do you live?,Onde você mora?,A1,conversation,"[""present simple questions""]"
Do you go to the park by train?,Você vai ao o parque de trem?,A1,conversation,"[""present simple questions""]"
I go to the coffee shop at 3:00 p.m. on Monday.,Eu vou à cafeteria às 15:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at 8:00 a.m. on Tuesday.,Eu vou à livraria às 8:00 na terça-feira.,A1,shopping,"[""present simple""]"
I go to the downtown with my parents.,Eu vou ao o centro com meus pais.,A1,leisure,"[""present simple""]"
I buy tickets at the clothing store.,Eu compro ingressos na loja de roupas.,A1,shopping,"[""present simple""]"
I go to the drugstore at 7:00 p.m. on Friday.,Eu vou à farmácia às 19:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I need bread for a late snack.,Eu preciso de pão para o um lanche tarde.,A1,daily_routine,"[""present simple""]"
I go to the hardware store at 9:00 a.m. on Sunday.,Eu vou à loja de ferragens às 9:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the hardware store at 3:00 p.m. on Sunday.,Eu vou à loja de ferragens às 15:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the clothing store at 6:00 a.m. on Tuesday.,Eu vou à loja de roupas às 6:00 na terça-feira.,A1,shopping,"[""present simple""]"
I buy batteries at the coffee shop.,Eu compro pilhas na cafeteria.,A1,shopping,"[""present simple""]"
I need tickets for lunch.,Eu preciso de ingressos para o almoço.,A1,daily_routine,"[""present simple""]"
I pay with debit card at the coffee shop.,Eu pago com cartão de débito na cafeteria.,A1,shopping,"[""present simple""]"
I go to the the office with my parents.,Eu vou ao o escritório com meus pais.,A1,leisure,"[""present simple""]"
I go to the drugstore at 10:00 a.m. on Thursday.,Eu vou à farmácia às 10:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I want a water and a pizza.,Eu quero um água e pizza.,A1,food,"[""present simple""]"
What time do you wake up on Friday?,Que horas você acorda na sexta-feira?,A1,daily_routine,"[""present simple"", ""time expressions""]"
I go to the clothing store at noon on Monday.,Eu vou à loja de roupas às meio-dia na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the library on Saturday.,Eu vou ao a biblioteca na sábado.,A1,transport,"[""present simple""]"
I go to the gas station at 1:00 p.m. on Saturday.,Eu vou à posto de gasolina às 13:00 na sábado.,A1,shopping,"[""present simple""]"
I pay with debit card at the hardware store.,Eu pago com cartão de débito na loja de ferragens.,A1,shopping,"[""present simple""]"
I live in Chicago.,Eu moro em Chicago.,A1,personal_info,"[""verb to be""]"
I go to the coffee shop at 7:00 a.m. on Saturday.,Eu vou à cafeteria às 7:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the drugstore at 1:00 p.m. on Sunday.,Eu vou à farmácia às 13:00 na domingo.,A1,shopping,"[""present simple""]"
I buy toothpaste at the bookstore.,Eu compro pasta de dente na livraria.,A1,shopping,"[""present simple""]"
I take out the trash after breakfast.,Eu tirar o lixo depois do café da manhã.,A1,home,"[""present simple""]"
The hardware store is cheap this morning.,A loja de ferragens está barato hoje de manhã.,A1,shopping,"[""verb to be""]"
I want a water and a sandwich.,Eu quero um água e sanduíche.,A1,food,"[""present simple""]"
I go to the grocery store at 1:00 p.m. on Thursday.,Eu vou à mercado às 13:00 na quinta-feira.,A1,shopping,"[""present simple""]"
The hardware store is busy this afternoon.,A loja de ferragens está movimentado hoje à tarde.,A1,shopping,"[""verb to be""]"
I go to the clothing store at 10:00 a.m. on Thursday.,Eu vou à loja de roupas às 10:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I want a coffee and a soup.,Eu quero um café e sopa.,A1,food,"[""present simple""]"
I go to the grocery store at 8:00 a.m. on Sunday.,Eu vou à mercado às 8:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the clothing store at 6:00 a.m. on Friday.,Eu vou à loja de roupas às 6:00 na sexta-feira.,A1,shopping,"[""present simple""]"
The grocery store is crowded tonight.,A mercado está cheio hoje à noite.,A1,shopping,"[""verb to be""]"
I go to the grocery store at 8:00 a.m. on Thursday.,Eu vou à mercado às 8:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the library on Thursday.,Eu vou ao a biblioteca na quinta-feira.,A1,transport,"[""present simple""]"
I go to the drugstore at 5:00 p.m. on Thursday.,Eu vou à farmácia às 17:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I buy tickets at the bookstore.,Eu compro ingressos na livraria.,A1,shopping,"[""present simple""]"
I go to the grocery store at 9:00 a.m. on Sunday.,Eu vou à mercado às 9:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the gas station at 3:00 p.m. on Friday.,Eu vou à posto de gasolina às 15:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I study English once a month.,Eu estudar inglês uma vez por mês.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I buy batteries at the grocery store.,Eu compro pilhas na mercado.,A1,shopping,"[""present simple""]"
I eat breakfast at 9:00 a.m..,Eu faço café da manhã às 9:00.,A1,daily_routine,"[""present simple""]"
I go to the bakery at 1:00 p.m. on Thursday.,Eu vou à padaria às 13:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I eat lunch at 8:00 p.m..,Eu faço almoço às 20:00.,A1,daily_routine,"[""present simple""]"
I buy bread at the bakery.,Eu compro pão na padaria.,A1,shopping,"[""present simple""]"
The clothing store is busy this morning.,A loja de roupas está movimentado hoje de manhã.,A1,shopping,"[""verb to be""]"
The gas station is expensive tonight.,A posto de gasolina está caro hoje à noite.,A1,shopping,"[""verb to be""]"
I cook at home twice a week.,Eu cozinhar em casa duas vezes por semana.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the clothing store at 7:00 p.m. on Thursday.,Eu vou à loja de roupas às 19:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the gym on Monday.,Eu vou ao a academia na segunda-feira.,A1,transport,"[""present simple""]"
I go to the grocery store at 9:00 a.m. on Thursday.,Eu vou à mercado às 9:00 na quinta-feira.,A1,shopping,"[""present simple""]"
The drugstore is cheap tonight.,A farmácia está barato hoje à noite.,A1,shopping,"[""verb to be""]"
I want a soda and a pasta.,Eu quero um refrigerante e macarrão.,A1,food,"[""present simple""]"
I go to the clothing store at 3:00 p.m. on Friday.,Eu vou à loja de roupas às 15:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the supermarket on Tuesday.,Eu vou ao o supermercado na terça-feira.,A1,transport,"[""present simple""]"
I go to the hardware store at 5:00 p.m. on Sunday.,Eu vou à loja de ferragens às 17:00 na domingo.,A1,shopping,"[""present simple""]"
I want a orange juice and a sandwich.,Eu quero um suco de laranja e sanduíche.,A1,food,"[""present simple""]"
I buy shampoo at the bakery.,Eu compro shampoo na padaria.,A1,shopping,"[""present simple""]"
I go to the grocery store at 6:00 a.m. on Tuesday.,Eu vou à mercado às 6:00 na terça-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at 1:00 p.m. on Tuesday.,Eu vou à livraria às 13:00 na terça-feira.,A1,shopping,"[""present simple""]"
I go to the the library with my friend.,Eu vou ao a biblioteca com meu amigo.,A1,leisure,"[""present simple""]"
I wash the dishes after a late snack.,Eu lavar a louça depois do um lanche tarde.,A1,home,"[""present simple""]"
I go to the grocery store at 1:00 p.m. on Saturday.,Eu vou à mercado às 13:00 na sábado.,A1,shopping,"[""present simple""]"
I buy paper towels at the gas station.,Eu compro papel toalha na posto de gasolina.,A1,shopping,"[""present simple""]"
I go to the bakery at 7:00 a.m. on Sunday.,Eu vou à padaria às 7:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the grocery store at 8:00 p.m. on Monday.,Eu vou à mercado às 20:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at 8:00 a.m. on Saturday.,Eu vou à livraria às 8:00 na sábado.,A1,shopping,"[""present simple""]"
Do you like rice and beans?,Você gosta de arroz e feijão?,A1,conversation,"[""present simple questions""]"
I go to the gas station at 5:00 p.m. on Wednesday.,Eu vou à posto de gasolina às 17:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at 10:00 a.m. on Thursday.,Eu vou à livraria às 10:00 na quinta-feira.,A1,shopping,"[""present simple""]"
Do you go to the library by train?,Você vai ao a biblioteca de trem?,A1,conversation,"[""present simple questions""]"
I take out the trash after dinner.,Eu tirar o lixo depois do jantar.,A1,home,"[""present simple""]"
I go to the coffee shop at 6:00 a.m. on Thursday.,Eu vou à cafeteria às 6:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I pay bills on weekends.,Eu pagar contas nos fins de semana.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the gas station at 8:00 a.m. on Tuesday.,Eu vou à posto de gasolina às 8:00 na terça-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at 8:00 a.m. on Sunday.,Eu vou à livraria às 8:00 na domingo.,A1,shopping,"[""present simple""]"
I pay with mobile payment at the coffee shop.,Eu pago com pagamento por celular na cafeteria.,A1,shopping,"[""present simple""]"
I go to the bookstore at 8:00 p.m. on Saturday.,Eu vou à livraria às 20:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the grocery store at 5:00 p.m. on Sunday.,Eu vou à mercado às 17:00 na domingo.,A1,shopping,"[""present simple""]"
Do you go to downtown by ride-share?,Você vai ao o centro de carro por aplicativo?,A1,conversation,"[""present simple questions""]"
I go for a walk three times a week.,Eu fazer uma caminhada três vezes por semana.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I need toothpaste for lunch.,Eu preciso de pasta de dente para o almoço.,A1,daily_routine,"[""present simple""]"
I go to the coffee shop at 8:00 p.m. on Saturday.,Eu vou à cafeteria às 20:00 na sábado.,A1,shopping,"[""present simple""]"
I need batteries for a late snack.,Eu preciso de pilhas para o um lanche tarde.,A1,daily_routine,"[""present simple""]"
I go to the hardware store at noon on Friday.,Eu vou à loja de ferragens às meio-dia na sexta-feira.,A1,shopping,"[""present simple""]"
I want a orange juice and a sushi.,Eu quero um suco de laranja e sushi.,A1,food,"[""present simple""]"
I go to the coffee shop at 6:00 a.m. on Wednesday.,Eu vou à cafeteria às 6:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the gas station at 7:00 a.m. on Thursday.,Eu vou à posto de gasolina às 7:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I drink orange juice this morning.,Eu bebo suco de laranja hoje de manhã.,A1,daily_routine,"[""present simple""]"
The clothing store is cheap this afternoon.,A loja de roupas está barato hoje à tarde.,A1,shopping,"[""verb to be""]"
I go to the grocery store at 7:00 a.m. on Saturday.,Eu vou à mercado às 7:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the drugstore at 6:00 a.m. on Saturday.,Eu vou à farmácia às 6:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 8:00 a.m. on Saturday.,Eu vou à cafeteria às 8:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 10:00 a.m. on Monday.,Eu vou à cafeteria às 10:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the hardware store at 8:00 p.m. on Friday.,Eu vou à loja de ferragens às 20:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I buy milk at the bakery.,Eu compro leite na padaria.,A1,shopping,"[""present simple""]"
I go to the the office with my brother.,Eu vou ao o escritório com meu irmão.,A1,leisure,"[""present simple""]"
I go to the gas station at 6:00 a.m. on Sunday.,Eu vou à posto de gasolina às 6:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the bakery at noon on Saturday.,Eu vou à padaria às meio-dia na sábado.,A1,shopping,"[""present simple""]"
I cook at home every day.,Eu cozinhar em casa todos os dias.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I buy eggs at the grocery store.,Eu compro ovos na mercado.,A1,shopping,"[""present simple""]"
I need eggs for lunch.,Eu preciso de ovos para o almoço.,A1,daily_routine,"[""present simple""]"
I wake up at noon.,Eu acordo às meio-dia.,A1,daily_routine,"[""present simple""]"
Do you like sushi?,Você gosta de sushi?,A1,conversation,"[""present simple questions""]"
